materia,tema,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,dificultad,explicacion
Matemáticas,Álgebra,¿Cuál es el resultado de resolver la ecuación 2x + 5 = 17?,x = 4,x = 6,x = 8,x = 12,B,Baja,Restamos 5 de ambos lados: 2x = 12; luego dividimos entre 2: x = 6.
Matemáticas,Álgebra,Factoriza la expresión x² - 9,(x-3)(x-3),(x+3)(x+3),(x-3)(x+3),(x+9)(x-1),C,Media,"Es una diferencia de cuadrados: a² - b² = (a-b)(a+b), con a=x y b=3."
Matemáticas,Álgebra,¿Cuál es la solución de x² - 5x + 6 = 0?,x = 1 o x = 6,x = 2 o x = 3,x = -2 o x = -3,x = 0 o x = 5,B,Media,"Factorizando: (x-2)(x-3)=0, por lo tanto x=2 o x=3."
Matemáticas,Geometría,¿Cuál es el área de un triángulo con base 8 cm y altura 5 cm?,13 cm²,20 cm²,40 cm²,80 cm²,B,Baja,Área = (base × altura) / 2 = (8 × 5) / 2 = 20 cm².
Matemáticas,Geometría,¿Cuál es el perímetro de un círculo con radio 7 cm? Use π ≈ 3.14,21.98 cm,43.96 cm,153.86 cm,49 cm,B,Media,Perímetro = 2πr = 2 × 3.14 × 7 = 43.96 cm.
Matemáticas,Geometría,¿Cuántos grados suman los ángulos internos de un triángulo?,90°,180°,270°,360°,B,Baja,La suma de los ángulos internos de cualquier triángulo siempre es 180°.
Matemáticas,Aritmética,¿Cuál es el resultado de 15% de 240?,24,36,48,60,B,Baja,15% de 240 = 0.15 × 240 = 36.
Matemáticas,Aritmética,¿Cuál es el MCM (mínimo común múltiplo) de 12 y 18?,6,24,36,72,C,Media,Descomponiendo: 12 = 2²×3 y 18 = 2×3². MCM = 2²×3² = 36.
Matemáticas,Aritmética,¿Cuánto es 2/3 + 1/4?,3/7,5/12,11/12,8/12,C,Media,Común denominador 12: 8/12 + 3/12 = 11/12.
Matemáticas,Trigonometría,¿Cuál es el valor de sen(30°)?,0,1/2,√2/2,√3/2,B,Media,sen(30°) = 1/2 es un valor de la tabla básica de trigonometría.
Matemáticas,Trigonometría,¿Cuál es el valor de cos(60°)?,0,1/2,√2/2,1,B,Media,cos(60°) = 1/2 es un valor de la tabla básica de trigonometría.
Matemáticas,Cálculo,¿Cuál es la derivada de f(x) = 3x²?,3x,6x,6,3x³/3,B,Media,Aplicando la regla de la potencia: f'(x) = 2·3x^(2-1) = 6x.
Matemáticas,Cálculo,¿Cuál es la integral de f(x) = 2x?,x² + C,2x² + C,x²/2 + C,2,A,Media,∫2x dx = 2·(x²/2) + C = x² + C.
Programación,Variables,¿Cuál es el tipo de dato más adecuado para almacenar el nombre de una persona en Python?,int,float,str,bool,C,Baja,str (string) se usa para almacenar cadenas de texto como nombres.
Programación,Variables,"Si x = 5 y y = 2, ¿qué imprime print(x // y) en Python?",2.5,2,3,2.0,B,Baja,El operador // realiza división entera; 5 dividido entre 2 da 2 (descartando el resto).
Programación,Condicionales,"Si x = 10, ¿qué imprime: if x > 5: print('A') else: print('B')?",A,B,AB,Error,A,Baja,"Como 10 > 5 es True, se ejecuta el bloque if e imprime 'A'."
Programación,Condicionales,¿Cuál es el operador lógico AND en Python?,&&,and,&,AND,B,Baja,En Python el operador lógico AND se escribe con la palabra reservada 'and'.
Programación,Ciclos,¿Cuántas veces se ejecuta el ciclo for i in range(5)?,4,5,6,Infinitas,B,Baja,"range(5) genera los valores 0, 1, 2, 3, 4: en total 5 iteraciones."
Programación,Ciclos,"¿Qué valores genera range(1,4) en Python?","1, 2, 3","0, 1, 2, 3","1, 2, 3, 4","1, 2",A,Media,"range(1,4) genera 1, 2, 3 (el límite superior es exclusivo)."
Programación,Funciones,¿Cómo se define una función en Python?,function f():,def f():,func f():,define f():,B,Baja,En Python las funciones se definen con la palabra reservada 'def'.
Programación,Funciones,"Si def suma(a,b): return a+b ¿qué retorna suma(3,4)?",7,34,12,None,A,Baja,La función suma 3 + 4 y retorna 7.
Programación,Estructuras de datos,¿Cuál estructura de datos permite acceder a valores mediante claves?,Lista,Tupla,Diccionario,Conjunto,C,Media,Los diccionarios (dict) almacenan pares clave-valor y permiten acceso por clave.
Programación,Estructuras de datos,"Si lst = [1, 2, 3], ¿qué imprime print(lst[-1])?",1,2,3,Error,C,Media,El índice -1 accede al último elemento de la lista.
Programación,POO,¿Cuál es la palabra clave para definir una clase en Python?,class,Class,struct,object,A,Baja,En Python las clases se definen con la palabra reservada 'class'.
Bases de Datos,SQL Básico,¿Qué comando SQL se usa para obtener datos de una tabla?,GET,FETCH,SELECT,RETRIEVE,C,Baja,SELECT es el comando estándar para consultar datos en SQL.
